"variable","vif_score"
"GarageType_Attchd",72.9754900335506
"GarageType_Detchd",58.4798340370167
"MSZoning_RL",44.0625622281172
"BsmtQual_None",43.213106223088
"BsmtExposure_None",38.0278964388182
"MSZoning_RM",29.2911730258336
"FireplaceQu_None",20.1966013845942
"Neighborhood_NAmes",19.998493859697
"Exterior1st_VinylSd",19.200814760126
"GarageType_None",18.5517396305552
"GarageType_BuiltIn",18.477004315217
"ExterQual_TA",16.6836049989147
"Neighborhood_OldTown",16.6051757067509
"MSZoning_FV",15.5058463366448
"FireplaceQu_Gd",14.4243009757436
"FireplaceQu_TA",13.6710644621838
"ExterQual_Gd",12.8401656187303
"Neighborhood_CollgCr",12.1639913274912
"Exterior1st_HdBoard",11.445577674889
"Neighborhood_Somerst",10.8694573243193
"Exterior1st_MetalSd",10.6649385858269
"BsmtQual_TA",10.5718660753512
"Age",10.5138252708325
"Neighborhood_Edwards",10.1243352519985
"Exterior1st_Wd.Sdng",10.0132969167634
"GrLivArea",9.9684016050622
"KitchenQual_TA",9.84570239227995
"Neighborhood_BrkSide",8.31429950975455
"Neighborhood_Sawyer",8.09697366959921
"Neighborhood_Gilbert",7.83779121063784
"Neighborhood_NWAmes",7.72837375778104
"Foundation_PConc",7.39870363342158
"KitchenQual_Gd",7.34945456222785
"Neighborhood_IDOTRR",7.04929797838268
"BsmtQual_Gd",6.99416941871428
"Exterior1st_Plywood",6.85559505595399
"Neighborhood_NridgHt",6.82881067158877
"HouseStyle_1Story",6.36413835851003
"Neighborhood_Crawfor",6.20379336591106
"Foundation_CBlock",6.14131993498772
"Neighborhood_SawyerW",6.00529141054551
"TotalBsmtSF",5.93636358980272
"Neighborhood_Mitchel",5.47948344077959
"GarageType_Basment",5.12300030002497
"Fence_None",5.04373358572502
"Exterior1st_CemntBd",4.8160178518237
"TotRmsAbvGrd",4.773849819087
"OverallQual",4.71785285602067
"Neighborhood_NoRidge",4.71529872206385
"HouseStyle_2Story",4.49341546975776
"Neighborhood_Timber",4.29766017769027
"Neighborhood_SWISU",3.98358107111034
"MSZoning_RH",3.97548326693201
"Neighborhood_ClearCr",3.93539122245054
"BsmtCond_TA",3.92430337100528
"Fence_MnPrv",3.79444398162624
"GarageCars",3.65466293470526
"Foundation_Slab",3.65293632783303
"Exterior1st_BrkFace",3.62816749912573
"Neighborhood_MeadowV",3.54800860843089
"Neighborhood_BrDale",3.29666309998815
"LandContour_Lvl",3.19687327657313
"GarageType_CarPort",2.96060945271964
"Neighborhood_StoneBr",2.91061812099959
"BsmtCond_Gd",2.89608861863333
"SaleCondition_Partial",2.86192615726039
"BsmtExposure_No",2.80961674101813
"Re_Age",2.80019832028464
"FireplaceQu_Fa",2.74979006473438
"SaleCondition_Normal",2.68881815240828
"BldgType_TwnhsE",2.67213073171988
"ExterQual_Fa",2.56262668293194
"KitchenQual_Fa",2.42277722460922
"LotArea",2.4199216894545
"Exterior1st_WdShing",2.4084324917959
"LotFrontage",2.38693391137581
"TotalFullBath",2.38575930220376
"LandContour_Low",2.36851183816285
"SeasonSold_Summer",2.3651761438795
"BsmtQual_Fa",2.35652183945117
"SeasonSold_Spring",2.30565894422877
"Exterior1st_Stucco",2.28908982101926
"BldgType_Twnhs",2.26090614657649
"LandContour_HLS",2.25126238677355
"HeatingQC_TA",2.22502552197754
"Fence_GdWo",2.14689336526158
"FireplaceQu_Po",2.14480486815735
"TotalHalfBath",2.12288885982401
"HouseStyle_SLvl",2.09827693451697
"HouseStyle_SFoyer",2.04921501592454
"LandSlope_Sev",2.04621266352547
"Neighborhood_Veenker",2.03450525327661
"CentralAir_Y",1.94236130147134
"Neighborhood_NPkVill",1.92401183705481
"BldgType_Duplex",1.89677594995121
"BsmtExposure_Gd",1.87012048173082
"BsmtExposure_Mn",1.74481952081578
"LandSlope_Mod",1.72359587094924
"SeasonSold_Winter",1.70382428019128
"LotConfig_CulDSac",1.66796796590468
"LotConfig_Inside",1.65535999630243
"PavedDrive_Y",1.61135499915096
"LotShape_Reg",1.54950360313659
"HeatingQC_Gd",1.51817049402641
"Street_Pave",1.50033382282657
"HeatingQC_Fa",1.49696865981947
"SaleCondition_Alloca",1.45999316978481
"OpenPorchSF",1.37740753402997
"WoodDeckSF",1.37178104987988
"HouseStyle_1.5Unf",1.34534614081343
"Functional_Typ",1.32423862885664
"Fence_MnWw",1.31221674689228
"Neighborhood_Blueste",1.31188608061501
"RRAe",1.31039162880083
"LotConfig_FR2",1.30961247749609
"SaleCondition_Family",1.30433762486272
"Artery",1.30143994625873
"HouseStyle_2.5Unf",1.29986174525305
"BldgType_2fmCon",1.29924516705645
"BsmtCond_Po",1.29911407828206
"Exterior1st_CBlock",1.28554549026459
"HeatingQC_Po",1.28171800438155
"LotShape_IR2",1.24905216648345
"Feedr",1.24831831839168
"PoolQC",1.23546398026009
"RRNn",1.22750517911833
"LotShape_IR3",1.22534992993351
"SaleCondition_AdjLand",1.22265847737523
"RRAn",1.21185307507174
"Exterior1st_BrkComm",1.2104346013214
"Exterior1st_AsphShn",1.18672001008393
"Foundation_Wood",1.1843923189457
"Foundation_Stone",1.17492850778843
"PosA",1.16915634681639
"ScreenPorch",1.16223780468609
"PosN",1.13185694566985
"LotConfig_FR3",1.12984768293752
"MiscVal",1.09257528973907
"RRNe",1.08096042306667
